genes
Bhlhe41
Id1
Ctla2a
Hsd11b1
Ptgis
Serpinb5
Ifi47
Cldn10
Tent5a
Dact1
Flrt3
Smoc2
Enpp2
Nnmt
Fbln7
Procr
Sult5a1
Ccdc80
Shroom4
Pitx1
Gm4610
Timp3
Cpz
Alkbh8
Cbr2
Ehd3
Rasd1
Spink5
Gbp3
Crlf1
Rrm2
Tnc
Icam1
Hmgcs2
Car9
BC064078
Saa3
Birc3
F3
Hs6st2
Tpm1
Cdc20
Ctsk
Lzts1
Tspan6
Isg15
Stra6
Lamb3
C3
Abca8a
Gsn
Abi3bp
Mfap2
Gm42992
Nppc
Ptn
Slc2a1
Jam2
Cdh13
Arc
Vnn1
Il19
Perp
Il1rn
Edn2
Aqp5
Postn
Il33
Ifi44
Agt
Mmp1a
Fhl1
Ckmt1
Ch25h
Mlf1
Col4a2
Nkd2
Lif
Pcsk5
Gzmc
Inhba
Tfpi2
Cfap300
Pde4b
Ptgfr
Dsp
Spon2
Prlr
Tns4
Prg4
Sncg
Gm10800
Txnip
Mcm5
Rcan1
Comp
Smpdl3a
Aspa
Fxyd3
Cpa4
Gas1
Serpinb9
Serpinb10
Yod1
Arg2
Dynap
Cenpa
Hgf
Calm4
Sfn
Adamts4
Oasl2
Nqo1
Ces1g
Cryaa
Rnf217
C1qtnf7
Pdzk1ip1
Cebpd
Nptx1
Cd74
Cenpe
Rasl11a
Bdnf
Ctsc
Meg3
Flt1
Rgcc
Pla1a
Cthrc1
Gm13889
Sept4
Gas6
Psmb8
Ptgs2
Crem
Mgst1
Dpep1
Krt23
Pinlyp
Cdkn1c
Lrrn4cl
Cdh1
Tnfrsf26
Ndrg1
Col3a1
Prr16
Ivl
Cdcp1
Serinc2
X9530013L04Rik
Penk
Gucy1a2
Aqp9
Bdkrb1
Hbegf
Fndc1
Il1f9
Ucp2
Palmd
Fkbp3
Sprr2h
Gpr87
Cxcl2
Fap
Gadd45g
Zfp568
B830012L14Rik
Ccn3
Htr1d
Krt13
Mcm3
Slc10a6
Sprr2g
Smox
Senp8
Ntrk2
Arhgef16
Cxcr6
Cdhr1
Nox4
Tnfrsf18
Dsc3
Srpx2
Ralgds
Cyp26b1
Sprr2k
Yap1
Tslp
Slc4a4
Lbp
Msx1
Trp53inp1
Ccn1
Tfcp2l1
Fancm
Trim29
Gm43429
Pttg1
Lyz2
Nup62cl
Gm43508
Cdk1
Bag2
Ddx60
Gm43490
Adrb2
Heyl
Plau
Cep162
D10Wsu102e
Wfdc3
Gpm6b
Gbp7
Fam110a
Gm38211
Bcam
Prim1
Bpgm
Aox3
Krt79
Ncapg
Slc15a2
Serpinf1
Bmp2
Ccna2
Ckb
Hist1h1c
Qpct
Gm8818
Gm44283
Ltbp2
Thrb
Chl1
Msmo1
Olr1
Arrdc3
Tmem132b
Gm16523
Ndn
Zfp41
Sprr2e
Zfp182
Anxa8
Gm44220
Taf4b
BC117090
Sfrp1
Zfp202
Fam13a
AI504432
Col10a1
H2.Eb1
Arg1
Col1a1
Dmd
Adgra3
Defb1
Birc2
Enc1
Clec14a
Id2
Zfp119b
Lpl
Tmem204
Tasp1
Gm42679
Spint2
Cd53
Ramp1
Rnd1
Ndnf
Gfpt2
Moxd1
Srxn1
Cryl1
Lgals3bp
Kif23
Tinagl1
Ifit1
Cyp24a1
Spink8
Igsf5
Gm43259
Amigo2
Gm43361
Togaram1
Bst2
X1700086L19Rik
Gm26917
Hpgd
Ces2g
Mcm6
Prpf39
Gap43
X4833412K13Rik
Gm42611
Slc38a4
Nid1
Ccl20
Plcb4
Ndc80
Scn9a
Gm26522
Fam217b
Gdf15
Ddah1
Slc7a2
C230071H17Rik
R3hdml
Islr
Clcf1
Ankrd37
Col4a1
Lce3c
Svep1
ERCC.76
Nrn1
Tnfaip2
Gm45153
Tubb3
Irx4
Fgf1
Zfp184
Lpar1
Elovl7
Mis18bp1
H2.K1
Nupr1
Angptl4
C530043K16Rik
Rarres2
Pcdhb9
Rad51
Fzd3
Asprv1
Serpina9
Pxdc1
Fez1
Adamts5
Cyp4b1
Gm14636
Lims2
Zfp623
Gm19817
Cdo1
Ifit3
Casp2
Fst
Angpt4
Mmp19
Tspan18
Gm26603
ERCC.23
Amotl2
Tenm2
H2.Ab1
Tmem119
Lgi2
Nipal1
Il1rap
Gm37063
Trp63
Ercc6l2
Casq2
Zfp704
Nos2
Ccno
Mgll
Wdr91
AW112010
Ephx2
Prss22
Klhl1
Odaph
Prkca
Tspan7
Gm47687
Dhfr
Gbp9
Epha4
Ptprz1
Zkscan5
Tgfb2
Rnf122
Egr2
Smtnl2
Zfp954
Slc14a1
Il20rb
Itgb6
Prdm1
She
Fgl2
Sema4a
Rflna
Spint1
Msc
Lox
Irf6
Sprr1b
Lipk
Cyp7b1
Gm38057
C130089K02Rik
Ace
Gm20631
Lrrc17
Gm37677
Gdnf
Rgs5
Upk3bl
Gadd45b
Gm26835
Ripk4
Serpini1
Scel
Lgals3
Sfrp4
Slc38a1
Fbxo32
Olfr921
Zc3h6
Noct
B4galt4
Vwa1
Matn4
Uap1
Glrx
Tmigd1
Tspan12
Ankrd42
Kif26b
Ano9
Apln
Cavin2
Ndufa4l2
Plxdc2
Shisa2
Cdca3
Zfp930
Scara3
Phf11d
Gm37018
Gm26601
Coq8a
Zfp788
Ctsh
Slc16a11
Cyp51
Col7a1
Slc6a4
Zfp458
Derl3
Lce1g
Zfp729b
Fmo1
Fam19a2
Pi15
Tfpi
Top2a
Tcp11l2
X5430403G16Rik
Tas2r126
Ppif
Gsdma
Rnf225
Slco2a1
Fbxo47
Loxl2
Grem2
Serpina3g
Ifih1
Alox12e
Nrp1
Fam167a
Gm527
Plek2
Nfatc1
Fbxo45
Gm37101
Stbd1
Gla
Fxyd6
Dkk2
Rab15
Sox11
Nuf2
Itga11
Ism1
Scn7a
F730043M19Rik
Lad1
Gm43984
Map9
Kif20b
Tsc22d3
X2610008E11Rik
Col24a1
Mki67
Maob
Aif1l
Id3
Gk5
Plac8
Cilp
Socs3
Prickle1
Art3
Vdr
Pcdh20
Dsg3
Gm38377
Fbln1
Gm37534
Tbx18
Phactr2
Gmnn
Irf1
X5430421F17Rik
Stc1
Rassf10
Cd302
Wdr37
Ptger3
Fermt1
Cstb
Wdr13
Cdc45
Ada
Sema3c
Rrm1
Chrdl1
Kctd12
Hmox1
Dmxl2
Slc6a2
Fam162a
Rbp4
Col6a2
Arf2
ERCC.62
Pbk
Nid2
Acss1
Adamts9
Trem2
Tns1
Zik1
P2ry10b
Leng9
Gm45074
Rorb
Spc25
Tnfaip3
Bend6
Gm3604
Ifi205
X4833421G17Rik
Cenpo
Mtg1
D930016D06Rik
Rflnb
Ppef1
Unc5c
Lrrtm1
Gm45250
Nudt11
Itga6
Wnt4
Bcat1
Slc19a2
Rnase10
Col8a1
Trbc1
Nexn
Gm42683
Tinf2
Nrbp2
Asf1b
Clec7a
Prrg3
Pdgfrl
Gm19557
Gm43201
Trpc6
Gprin3
Irf7
C1qtnf12
Zdbf2
Dusp16
Trim45
Mad2l1
Adra2a
Tcf24
Pcdhb5
X2700099C18Rik
Gm6288
Sstr2
Rspo1
Timp4
Gm37447
Fas
Ecscr
Gm26764
Gm37747
Sprr2d
Gm16536
Peak1os
Pcdhga2
Gm25549
Gm42937
Gm42577
Col23a1
H2.Aa
Slc39a8
X9330159F19Rik
Gm15704
Gm42869
Gm6569
Mcm2
Gm43063
Gm49628
Gprc5a
Selenop
Plekhb1
Gm44153
Trim9
Kcnv2
C9orf72
Rpp40
Adgrg6
Lnx1
Ackr3
Duox2
Gm43588
Cpa6
Gm42991
Alox12b
Bank1
Ccne1
Hfe
Elf3
Gm3764
Faim2
Mt2
Dennd3
Gm12289
Dkc1
X4833422C13Rik
Efcab1
Gfra4
Ehhadh
Glipr1
Bbs5
Irgm2
A530041M06Rik
Wrap73
Pde6b
Hmgcs1
Gm44509
Bst1
Mipep
Arrdc4
Fam169b
Hmcn1
Calml3
Fbln5
Grhl1
St8sia1
Nek2
Itga5
Gm37949
Fam196a
Mmp27
Shcbp1
Bex3
Cdkn1a
Fancg
Tmc7
Lgals7
BB365896
Gm26590
Adgrd1
Rragc
Zfp566
Abcd2
X4930579H20Rik
Ank
Casp4
Gm37297
Zscan21
Pole2
Sat1
Tmem221
Gemin6
Tnik
Clec12b
Egfl6
Bub1b
Bbox1
Nrxn3
N4bp2l1
Olfr810
Zmat1
B3galnt1
Ifi203
Ptprf
Pfkfb3
Csrp2
Gm44440
Msl3l2
Col5a2
Gm38223
Lhfpl4
X6030408B16Rik
Chek1
Gm37334
Sptlc3
Adora2b
Eml1
Scnn1g
Slc7a11
St8sia2
Zfp689
Npnt
Tln2
Lmo1
Fxyd5
Cish
Olfm1
Prl6a1
Ccn4
Gm13648
Akr1c18
Cdc25c
Syngr3
Ptprb
Gm18422
Lipn
Mylk3
Mt1
Cmah
Mmp11
Zfp52
Trim13
Nbas
Lncpint
Plscr2
Sox15
Ccdc173
A930024N18Rik
Ccl9
Tom1l1
Tox
AI987944
Ngfr
AU041133
Cnot3
Gca
C030034L19Rik
Gm15559
Slc9a9
Atp8b5
Gm37906
Gm43430
Adgrv1
Zfp12
Gm28693
Ghr
Igfbp5
Gm43703
Fam72a
Rspo3
Col6a5
Cp
Fam84b
Zfp101
Enpp5
Kctd11
Lin7a
Rnasel
Mafb
X6030460B20Rik
Clec11a
Gm44224
Porcn
Lamc3
Cgref1
Pcp4
Akr1c14
Cecr2
Syt4
Blnk
Tcaim
ERCC.60
F830016B08Rik
Rnf125
Wdcp
Klk10
Mbd1
Tnip3
Lsmem1
Pde4d
Galm
X1700008J07Rik
Cabcoco1
X1110002O04Rik
Psd3
Mb21d2
Gm43188
Myd88
Col5a3
Veph1
Trpv2
Gm37733
Pdgfrb
Cxadr
Tlr2
X2610012C04Rik
Gng11
Trib3
Cdh11
Dennd2c
Ggt1
Pfn2
Dnm3os
Sqor
Dnajb9
Cdnf
Sema3d
Col5a1
Gm4951
Gstt1
Nipal2
Galnt6
Vwf
Nr4a1
Edil3
Gm37899
Slc16a10
Fam107b
Thbs1
Irak3
Ripk2
Arhgef6
Gm37621
Cd59a
Serpina3h
Gm38357
Ldhd
Ptgs2os
Clp1
Lrp4
Zfp35
Styk1
X2610028D06Rik
Gm47640
Mrpl44
Lvrn
Cd3e
Ccdc71l
Gdap10
Trpv3
Galr2
Ttf2
Glrb
Slc26a8
Plin2
Sept10
Fndc3c1
Zfp758
Zfp275
Nt5dc2
Hsd17b2
Ptafr
Vldlr
Gjb4
X4930486L24Rik
Ifi202b
Cxcl12
Igfbp6
Gm7897
Tmprss11g
Stambpl1
Tdrd3
Slc5a3
Arxes2
Megf6
Pgm2l1
Ednra
Nim1k
Aldh1a3
Kdelr3
Gm38300
Grhl3
Zfp74
X2010109I03Rik
Thsd4
Prss12
Odc1
Gm15056
Gpc1
Gm37254
Igsf10
Tekt2
Sh3gl2
Disp2
Nlrp10
Cnn2
Csrp1
Rab38
Ccdc14
Pkp2
D3Ertd254e
Fgf10
F13a1
Pde8a
Olfml2b
Dhcr7
Lurap1l
Pdgfd
Tmprss11b
L2hgdh
Gpr176
Hoxd8
Sox5
Flrt1
Pcdhb22
Fam192a
Ctsf
X9130017K11Rik
Gm13778
Gm26584
Jag1
Sulf2
Tnfrsf21
Igfbp4
Eya2
X3110080O07Rik
Cdh17
Epas1
Rapgef5
ERCC.21
Gm38235
Col1a2
Tspan32
Gm15551
A930007I19Rik
Slc29a1
Zkscan8
Ptprv
Neb
Gm45151
Bmp3
Lrrc3b
Ggt6
X2700049A03Rik
X5031434C07Rik
Pgm3
Prom1
Sfxn4
Gm37195
Gm26625
Rab10os
Aplf
Gm45629
Slc16a7
Prss23
Parvaos
Scrn3
St8sia4
Ctnna2
Gm42866
Kctd4
X3100003L05Rik
Cd200
Fastkd3
Plcxd3
Slc43a1
Gm15903
Tmem50b
Tmem100
Tipin
Rfx3
X4732490B19Rik
Gm43176
Cers4
B3gat2
Mob3c
Tmem184c
Gdpd1
Dusp19
Cped1
Zfp389
Sult1a1
Wdr54
X1700029J07Rik
X4930432K21Rik
Hars2
Gm43577
Gm14052
Ppnr
Gm48604
Mios
Gm37321
Itga2
Dtwd1
Amy1
Ppargc1a
Fgf21
Mamdc2
Rcan2
Emb
H2.D1
Phka1
Elovl6
Golga7b
Klf8
Gm17084
Spata1
Fgfr3
Tac1
Gm42537
Kcnj3
Fhl4
Gm42589
Efemp1
Mum1l1
Cnnm2
Sqstm1
Fam126b
Ptch1
Lonp2
Gm42699
X2810428J06Rik
Nmral1
Map2
Pla2g7
Cd34
Slc52a3
B230311B06Rik
Cdk3.ps
Zdhhc2
Utp20
AW046200
Pmaip1
Ramp3
Mfsd2a
Gm37956
Clcn5
Gspt2
Lrrc46
Gm45220
X4933406P04Rik
Tnfrsf11b
ERCC.34
Gstp3
Taf1b
Kif3b
Cldn6
Synpo2
Cryzl2
Clspn
Rad51ap1
Cenpm
Aipl1
Gpcpd1
Gm43958
March4
Rasgrp3
Dchs2
Adamts3
Tnfsf15
BC005561
Abca8b
Rad52
Cep95
Pim2
Apoc1
Fgf2
Heg1
Gabpb2
Klf2
AU021092
Rab3b
Rprml
Gm26620
Renbp
Car6
Cfap70
Tmem178
Il17re
Fam120b
Gm43128
Gm11476
Fam214a
Sema3a
Klhl28
Megf10
Ppbp
Slc4a9
Extl1
Pcolce2
Stard4
Gm20633
Brinp1
Camp
X9430034N14Rik
Lifr
Zhx3
Mutyh
X2310007B03Rik
Acss2
Asb3
Hk3
Kcnk15
Ttc25
Gm42684
Has2
Pkdcc
Pgbd1
Arsk
F2r
Itih2
Ubash3b
Gm42478
Eda2r
Gm29848
P2ry2
Rbm48
Ggct
Plk1
Mdk.ps1
Eral1
Il4
Pik3r5
Cyp2j9
Cd274
Slc7a8
Mannr
Mpi
Cdca7
Rasgrf1
Gm12946
Mboat2
Tbc1d16
Thsd7a
Tmprss6
Tldc1
Gm42727
X2900092N22Rik
Adgrg3
Sap30bpos
Tent5c
Zfp105
Blmh
Cyp2d22
Col15a1
Rian
Gbp4
Il15
Gm37902
Bicc1
Gm37060
Chst9
Csta1
Gm37216
Tab3
Elac1
Tmprss11e
Dlk1
ERCC.16
Glipr2
Ankrd22
Slc26a11
Gja5
Gm44937
Scin
Bcl6b
Tuba4a
Mark1
Lysmd4
X2210017I01Rik
Oit3
Map10
Snhg8
Adh6b
Acss3
Wfdc1
Nat8f3
Frat1
Gm36992
Zfp318
Rasl11b
Oxtr
Gm44164
Abraxas1
Psat1
Tmem199
Ncoa2
Ms4a4d
X2810468N07Rik
Fgfbp3
Oscar
Ampd3
Fam118b
Gm43420
Gm13543
Fzd8
Rmnd5b
Timp1
C030015A19Rik
Kctd21
Gm39090
X5330406M23Rik
BC002059
Prmt9
Sema6a
A230087F16Rik
Gm48611
Rnf227
Cyp3a13
Mettl22
Trim34b
Platr22
Gm37215
Cfap126
Gm13496
Ppwd1
Lce6a
Ccbe1
D3Ertd751e
Tmem35a
Nudt17
Zfp810
Gm4871
Apold1
Zfp329
Gm43609
Pclaf
Abca9
Syt8
Zc2hc1c
Mettl18
Kl
Pdgfra
Gm48092
Adgra1
Fzd4
Lgr5
Col8a2
Hat1
Sfmbt2
Slc2a5
Zfp870
Pald1
Sorl1
Actr6
Eda
Arhgef4
Ciart
Snx29
Gm20045
Prickle2
Zfp941
Stk38l
Fam110c
Plekhh1
Slc35g1
Nes
Unc13c
Dip2b
Arhgap32
Sertad3
Bbs12
Frk
Sh3rf2
Snhg11
